variety,description
Chardonnay,"Coming in one of the most beautiful bottles on the market, this wine offers very forward aromas of honeyed almonds, browned butter, caramelized apples, daffodils and honeysuckle. There's a marzipan-powered nuttiness on the palate along with candied apples, but lemon zest acidity holds it together. This wine overpowers white fish, but excels with cheese."
Chardonnay,"Earthy whiffs of struck flint and smoke require some aeration to blow off, but patience is rewarded with pristine grapefruit, lemon and lime notes. Light bodied and nervy in acidity, it's an elegant Chardonnay that finishes on a delightful saline tone."
Chardonnay,"This is a rich, heavy wine, a Chardonnay on steroids. It's packed with ripe and lush tree fruits, and those flavors are matched with generous barrel toast. Though it feels a bit thick on the palate, it has enough acidity to avoid being flabby and is terrifically delicious. Drink now through 2021."
Chardonnay,"Lots of toasty oak can't hide the fact that the underlying wine has a strong vegetal note, with some apricot and pineapple flavors. Tasted twice."
Chardonnay,"A fuller, richer, more broadly fruity version of the winery's Two Vines offering, this crowd-pleasing Chardonnay slathers the palate with buttery brioche, apple and Asian pear. A little more acidity would help; give it a chill to compensate."
Chardonnay,"Lemony and balanced in oak, it reveals ripe Asian pear, creamy vanilla and a swirl of toffee. Medium bodied and smooth on the palate, it features buoyant acidity. It's ideal for pairing with roast chicken or meat topped with an apple chutney."
Chardonnay,"Made entirely from Chardonnay, this is a bright sparkling wine, bubbling in acidity and dry, leavened layers of apple and pear. A creaminess of vanilla balances the crispness, making for a successful small-production sparkler."
Chardonnay,"Aged in new wood, this wine is warm and rich with spicy vanilla and apricot notes. It has green plum, yellow cherry and citrus flavors that are nicely rolled into a balanced package. It can be drunk now, but would be better to wait a year."
Chardonnay,"Tropical, thick and decidedly rich, this wine is both balanced and luxuriously fleshy, with highlights of peach, pineapple, Gravenstein apple and vanilla-kissed caramel. Full bodied, it'll still sing at the table."
Chardonnay,"This is an impressively powerful, concentrated wine. It shows its wood aging now, but those notes should integrate soon into all the ripe apricot and greengage flavors. Richly textured, this is a wine that needs aging, so don't drink before 2016."
Chardonnay,"A lovely Chardonnay to drink tonight, this one, from the winery's fine Carneros vineyard on the Napa side, shows bright, mineral-infused pineapple, lime and spicy clove and pepper flavors. The acidity will balance a rich dish, such as seared scallops in a coconut-curry sauce."
Chardonnay,"This is a densely textured wine, full of flavors of lemon zest and green apples. The intense fruitiness lights the palate with a crisp feel as well as final, tight acidity."
Chardonnay,"Standard stuff, done right. Smoke and toast aromas add nuance to scents of citrus and peach. Hints of vanilla and baking spices buttress apple and pear flavors. The wine finishes with fresh, lemony notes. This is textbook Chardonnay."
Chardonnay,"Immaculate freshness abounds in this zesty Chardonnay. While supple and quite creamy on the palate, pristine lemon and pear flavors and a vibrant backdrop of lemony acidity invigorate. Elegantly meshed vanilla and spice tones linger on the finish."
Chardonnay,"Pale straw in color, this wine brings alluring aromas of toast, spice, clarified butter and stone fruit. The palate is full bodied with sweet, generous peach and tropical-fruit flavors that sail on the finish."
Chardonnay,"A beautiful wine that asserts itself near the top of the pile of Carneros Chardonnay. Shows brisk acidity and a tangy minerality, with oak-inspired, superripe green apple, Meyer lemon and pear fruit flavors that are wrapped into a creamy texture. Drink now."
Chardonnay,"Rich and oaky, with pineapple jam, tangerine juice, buttered toast and vanilla spice flavors. It's a big, opulent wine, but a little in your face. Drink now."
Chardonnay,"Toast, coconut and pineapple all work the bouquet. It's zesty and healthy on the palate, with pear, coconut and baked apple flavors. Much less oaky than in the past, yet still endowed with a lot of coconut and vanilla. A very nice wine that runs ripe and sweet, as evidenced by the 14.5% alcohol."
Chardonnay,"Waxy smelling and gritty, with an oily overtone, this feels O.K. but sort of wayward, with flavors of bitter grapefruit and matchstick. Simple and somewhat sour on the finish."
Chardonnay,"Buttered toast, caramel and vanilla flavors dominate this Chardonnay. It's brisk in acidity, with mango, Meyer lemon, lime and apricot flavors, wrapped into a creamy texture."
Chardonnay,"This is a big, ripe, rich and oaky Chardonnay, the kind that will seduce lots of people with sheer dazzle, although only 135 cases were produced so it's likely to be hard to find. Dry and crisp, it's concentrated in pineapple tart and peach marmalade flavors, accented with plenty of sweet, smoky oak, and brightened with crisp Monterey acidity."
Chardonnay,"This is a big, rich Chardonnay, another monster lineup in Testarossa's single-vineyard series. Shows tightly knit apple and peach flavors very generously oaked, with the requisite additions of smoke, vanilla, and woody spices. There's something minerally in the middle that seems likely to preserve the wine, if you wish to age it. Very fine quality, and a super-good food wine."
Chardonnay,"This wine's Honeycrisp apple and Applejacks cereal scents lead the nose before bold layers of luxurious texture confirm its complexity and overall appeal on the palate. Densely packed with flavor, it also shows plenty of structure to support its powerful range."
Chardonnay,"A vivid gold color and spice-rack aromas like nutmeg and cardamom add a different twist to this medium-bodied and rather rich-textured wine. Those are probably characteristics from aging with oak, and they enhance the clean, fresh fruit flavors in a good way."
Chardonnay,"Interesting scents of spice, herb and pine mix with tropical pineapple fruit. It all leads into a buttery finish, delivering a lot of flavor for the price. Barrel fermented, malolactic and sur lie aging—the full Monty."
Chardonnay,"A decent Chardonnay for the price, with pineapple fruit and hints of butter and cream. It's medium in body, with a slightly custardy mouthfeel and a short finish. Drink now."
Chardonnay,"The lack of new oak on this wine unleashes a torrent of ripe tropical fruit, including guava, as well as ripe pear. It's briny on the palate yet with quite perfumed and pungent flavors, more typical of a Rhône white than a California chardonnay."
Chardonnay,"An unusually vivid gold color is the first indication that this medium-bodied wine will turn up the dials on flavor. Aromas resemble wood smoke, nutmeg, sandalwood and vanilla, while flavors are subtly fruity but largely oaky in the form of marzipan, toasted bread and other savory nuances. It is gorgeous in a voluptuous way."
Chardonnay,"This is a light-bodied, very fruity and soft-textured wine that smells like cherries, berries and melons and tastes fresh and a touch sweet. The acidity is low and the bubbles are lively, so it's easy to sip."
Chardonnay,"There is little difference between this and the winery's reserve. There simply is no flavor here. It's a watery, sour wine, with a finish that suggests something went wrong somewhere along the line."
Chardonnay,"Initial scents of cedar, wood-grilled apple, popcorn and orange creamsicle are intensely decadent, promising a lush and textural wine. Those notes carry through to the opulent palate, with supporting accents of orange zest, toasted brioche and hazelnut that unfold on the medium-length finish. Drink now–2016."
